Search Engine,Mode,Incognito,Autocomplete,Total Energy (Joules)
Bing,Light Mode,False,True,3025.77419757843
DuckDuckGo,Light Mode,False,True,2930.5359325408936
Brave,Light Mode,False,True,2486.9583415985107
Bing,Dark Mode,False,True,2126.9553728103638
DuckDuckGo,Dark Mode,False,True,1931.0548210144043
Brave,Dark Mode,False,True,1906.831932067871
Bing,Light Mode,True,True,1877.6705131530762
DuckDuckGo,Light Mode,True,True,2113.4664011001587
Brave,Light Mode,True,True,1811.8689651489258
Bing,Dark Mode,True,True,1686.7522597312927
DuckDuckGo,Dark Mode,True,True,1829.0698499679565
Brave,Dark Mode,True,True,1876.339331626892
Bing,Light Mode,False,False,1963.642375946045
DuckDuckGo,Light Mode,False,False,1881.3711576461792
Brave,Light Mode,False,False,1781.500651359558
Bing,Dark Mode,False,False,1870.5033082962036
DuckDuckGo,Dark Mode,False,False,1806.8716057538986
Brave,Dark Mode,False,False,1948.856780052185
